File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"clone_headers_no_body(request_rec *rnew, const request_rec *r)",12,12,12,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_set_sub_req_protocol(request_rec *rnew, const request_rec *r)",32,22,21,2,5,3,5,53,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,end_output_stream(request_rec *r),9,8,8,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,ap_finalize_sub_req_protocol(request_rec *sub),5,4,3,1,0,0,1,11,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,ap_finalize_request_protocol(request_rec *r),7,5,4,1,1,0,1,11,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,ap_note_auth_failure(request_rec *r),12,12,7,2,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,ap_note_basic_auth_failure(request_rec *r),14,10,4,1,1,0,3,20,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,ap_note_digest_auth_failure(request_rec *r),7,7,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_get_basic_auth_pw(request_rec *r, const char **pw)",40,31,21,11,8,0,1,9,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_content_length_filter( ap_filter_t *f, apr_bucket_brigade *b)",94,62,47,12,7,0,25,204,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_send_fd(apr_file_t *fd, request_rec *r, apr_off_t offset, apr_size_t len, apr_size_t *nbytes)",19,16,14,2,3,1,0,10,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_send_mmap(apr_mmap_t *mm, request_rec *r, size_t offset, size_t length)",11,9,9,1,2,1,0,8,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_old_write_filter( ap_filter_t *f, apr_bucket_brigade *bb)",16,9,8,2,3,0,4,30,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"buffer_output(request_rec *r, const char *str, apr_size_t len)",44,26,20,10,9,0,9,68,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_rputc(int c, request_rec *r)",11,8,6,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_rputs(const char *str, request_rec *r)",10,7,5,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_rwrite(const void *buf, int nbyte, request_rec *r)",8,6,4,5,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,r_flush(apr_vformatter_buff_t *buff),21,10,8,5,5,0,6,49,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_vrprintf(request_rec *r, const char *fmt, va_list va)",29,19,16,6,8,0,2,18,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_rprintf(request_rec *r, const char *fmt, ...)",12,9,8,3,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,"ap_rvputs(request_rec *r, ...)",29,20,16,8,5,0,4,30,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,ap_rflush(request_rec *r),12,10,9,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\protocol.c,ap_set_last_modified(request_rec *r),8,7,6,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\provider.c,cleanup_global_providers(void *ctx),4,4,4,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\provider.c,"ap_register_provider(apr_pool_t *pool, const char *provider_group, const char *provider_name, const char *provider_version, const void *provider)",61,41,25,6,16,0,4,41,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\provider.c,"ap_lookup_provider(const char *provider_group, const char *provider_name, const char *provider_version)",23,17,11,7,6,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\provider.c,"ap_list_provider_names(apr_pool_t *pool, const char *provider_group, const char *provider_version)",31,25,19,8,6,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"decl_die(int status, char *phase, request_rec *r)",9,9,6,3,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,ap_process_request_internal(request_rec *r),147,109,59,50,16,1,22,153,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"prep_walk_cache(apr_size_t t, request_rec *r)",36,26,16,10,4,0,6,64,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"resolve_symlink(char *d, apr_finfo_t *lfi, int opts, apr_pool_t *p)",58,41,27,16,10,0,7,52,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"core_opts_merge(const ap_conf_vector_t *sec, core_opts_t *opts)",24,21,15,3,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,ap_directory_walk(request_rec *r),681,379,234,89,78,5,224,1587,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,ap_location_walk(request_rec *r),149,89,58,24,18,0,42,320,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,ap_file_walk(request_rec *r),143,87,58,23,18,0,38,291,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"make_sub_request(const request_rec *r, ap_filter_t *next_filter)",71,34,31,2,13,0,24,195,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"ap_sub_req_output_filter(ap_filter_t *f, apr_bucket_brigade *bb)",12,9,7,4,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,ap_some_auth_required(request_rec *r),20,14,11,6,5,0,1,13,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"ap_sub_req_method_uri(const char *method, const char *new_uri, const request_rec *r, ap_filter_t *next_filter)",49,28,22,7,7,1,14,116,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"ap_sub_req_lookup_uri(const char *new_uri, const request_rec *r, ap_filter_t *next_filter)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"ap_sub_req_lookup_dirent(const apr_finfo_t *dirent, const request_rec *r, int subtype, ap_filter_t *next_filter)",123,79,51,19,12,0,32,236,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"ap_sub_req_lookup_file(const char *new_file, const request_rec *r, ap_filter_t *next_filter)",90,61,39,17,11,3,18,159,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,ap_run_sub_req(request_rec *r),16,13,10,4,0,0,3,16,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,ap_destroy_sub_req(request_rec *r),3,2,2,0,0,0,1,4,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,"ap_update_mtime(request_rec *r, apr_time_t dependency_mtime)",4,4,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\request.c,ap_is_initial_req(request_rec *r),3,3,2,2,0,2,0,13,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,ap_cleanup_shared_mem(void *d),7,7,5,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,ap_calc_scoreboard_size(void),18,15,11,4,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,ap_init_scoreboard(void *shared_score),27,26,21,2,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,"create_namebased_scoreboard(apr_pool_t *pool, const char *fname)",17,13,8,3,2,2,2,19,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,open_scoreboard(apr_pool_t *pconf),49,39,24,10,3,3,7,71,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,"ap_reopen_scoreboard(apr_pool_t *p, apr_shm_t **shm, int detached)",18,17,11,6,0,0,1,6,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,ap_cleanup_scoreboard(void *d),13,13,10,4,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,"ap_create_scoreboard(apr_pool_t *p, ap_scoreboard_e sb_type)",56,49,32,10,5,0,2,13,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,ap_exists_scoreboard_image(void),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,"ap_increment_counts(ap_sb_handle_t *sb, request_rec *r)",14,12,10,0,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,find_child_by_pid(apr_proc_t *pid),13,10,8,4,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,"ap_create_sb_handle(ap_sb_handle_t **new_sbh, apr_pool_t *p, int child_num, int thread_num)",4,4,4,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,"ap_update_child_status_from_indexes(int child_num, int thread_num, int status, request_rec *r)",56,46,32,10,6,0,4,14,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,"ap_update_child_status(ap_sb_handle_t *sbh, int status, request_rec *r)",3,3,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,"ap_time_process_request(ap_sb_handle_t *sbh, int status)",15,12,9,2,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,"ap_get_scoreboard_worker(int x, int y)",6,6,4,3,0,1,0,4,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,ap_get_scoreboard_process(int x),5,5,4,3,0,1,0,4,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,ap_get_scoreboard_global(),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\scoreboard.c,ap_get_scoreboard_lb(int lb_num),5,5,4,3,0,1,0,4,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_field_noparam(apr_pool_t *p, const char *intype)",15,13,10,5,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_ht_time(apr_pool_t *p, apr_time_t t, const char *fmt, int gmt)",49,41,33,8,3,1,5,39,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_strcmp_match(const char *str, const char *expected)",21,20,13,13,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_strcasecmp_match(const char *str, const char *expected)",22,21,13,14,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_os_is_path_absolute(apr_pool_t *p, const char *dir)",8,8,6,4,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,ap_is_matchexp(const char *str),7,6,4,4,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,regex_cleanup(void *preg),3,3,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_pregcomp(apr_pool_t *p, const char *pattern, int cflags)",11,8,6,3,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_pregfree(apr_pool_t *p, ap_regex_t *reg)",3,3,3,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_strcasestr(const char *s1, const char *s2)",28,23,17,12,0,0,5,39,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_stripprefix(const char *bigstring, const char *prefix)",16,12,8,8,3,0,1,6,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_pregsub(apr_pool_t *p, const char *input, const char *source, size_t nmatch, ap_regmatch_t pmatch[])",64,49,33,13,13,2,2,19,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,ap_getparents(char *name),64,52,31,15,7,0,5,37,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,ap_no2slash(char *name),22,18,12,3,3,0,1,9,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_make_dirstr_prefix(char *d, const char *s, int n)",16,15,12,6,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_make_dirstr_parent(apr_pool_t *p, const char *s)",13,12,11,3,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,ap_count_dirs(const char *path),7,6,4,3,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_getword_nc(apr_pool_t *atrans, char **line, char stop)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_getword(apr_pool_t *atrans, const char **line, char stop)",22,18,15,4,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_getword_white_nc(apr_pool_t *atrans, char **line)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_getword_white(apr_pool_t *atrans, const char **line)",21,16,14,3,5,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_getword_nulls_nc(apr_pool_t *atrans, char **line, char stop)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_getword_nulls(apr_pool_t *atrans, const char **line, char stop)",17,12,11,3,5,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"substring_conf(apr_pool_t *p, const char *start, int len, char quote)",19,17,10,5,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_getword_conf_nc(apr_pool_t *p, char **line)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_getword_conf(apr_pool_t *p, const char **line)",41,35,24,10,6,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"ap_resolve_env(apr_pool_t *p, const char * word)",80,71,59,9,6,0,3,13,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,ap_cfg_closefile(ap_configfile_t *cfp),6,6,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,cfg_close(void *param),3,3,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,cfg_getch(void *param),6,6,5,3,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util.c,"cfg_getstr(void *buf, size_t bufsiz, void *param)",8,8,7,3,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_cfgtree.c,"ap_add_node(ap_directive_t **parent, ap_directive_t *current, ap_directive_t *toadd, int child)",22,19,15,8,0,0,3,24,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_debug.c,"ap_strchr(char *s, int c)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_debug.c,"ap_strchr_c(const char *s, int c)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_debug.c,"ap_strrchr(char *s, int c)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_debug.c,"ap_strrchr_c(const char *s, int c)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_debug.c,"ap_strstr(char *s, const char *c)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_debug.c,"ap_strstr_c(const char *s, const char *c)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_debug.c,"ap_get_module_config(const ap_conf_vector_t *cv, const module *m)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_debug.c,"ap_set_module_config(ap_conf_vector_t *cv, const module *m, void *val)",2,2,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_ebcdic.c,ap_init_ebcdic(apr_pool_t *pool),40,34,24,11,6,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_ebcdic.c,"ap_xlate_proto_to_ascii(char *buffer, apr_size_t len)",6,5,4,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_ebcdic.c,"ap_xlate_proto_from_ascii(char *buffer, apr_size_t len)",6,5,4,0,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_ebcdic.c,"ap_rvputs_proto_in_ascii(request_rec *r, ...)",22,20,17,6,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"trie_node_link(apr_pool_t *p, filter_trie_node *parent, filter_trie_node *child, int c)",29,26,19,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"trie_node_alloc(apr_pool_t *p, filter_trie_node *parent, char c)",27,26,18,6,1,1,0,4,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,filter_cleanup(void *ctx),4,4,4,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"get_filter_handle(const char *name, const filter_trie_node *filter_set)",35,33,25,10,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,AP_DECLARE(ap_filter_rec_t *)ap_get_output_filter_handle(const char *name),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,AP_DECLARE(ap_filter_rec_t *)ap_get_input_filter_handle(const char *name),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"register_filter(const char *name, ap_filter_func filter_func, ap_init_filter_func filter_init, ap_filter_type ftype, filter_trie_node **reg_filter_set)",36,32,26,5,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_register_input_filter(const char *name, ap_in_filter_func filter_func, ap_init_filter_func filter_init, ap_filter_type ftype)",5,5,4,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_register_output_filter(const char *name, ap_out_filter_func filter_func, ap_init_filter_func filter_init, ap_filter_type ftype)",3,3,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_register_output_filter_protocol( const char *name, ap_out_filter_func filter_func, ap_init_filter_func filter_init, ap_filter_type ftype, unsigned int proto_flags)",8,8,7,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"add_any_filter_handle(ap_filter_rec_t *frec, void *ctx, request_rec *r, conn_rec *c, ap_filter_t **r_filters, ap_filter_t **p_filters, ap_filter_t **c_filters)",72,61,43,14,7,0,4,23,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"add_any_filter(const char *name, void *ctx, request_rec *r, conn_rec *c, const filter_trie_node *reg_filter_set, ap_filter_t **r_filters, ap_filter_t **p_filters, ap_filter_t **c_filters)",39,36,26,10,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_add_input_filter(const char *name, void *ctx, request_rec *r, conn_rec *c)",4,4,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_add_input_filter_handle(ap_filter_rec_t *f, void *ctx, request_rec *r, conn_rec *c)",4,4,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_add_output_filter(const char *name, void *ctx, request_rec *r, conn_rec *c)",4,4,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_add_output_filter_handle(ap_filter_rec_t *f, void *ctx, request_rec *r, conn_rec *c)",4,4,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"remove_any_filter(ap_filter_t *f, ap_filter_t **r_filt, ap_filter_t **p_filt, ap_filter_t **c_filt)",19,15,11,4,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,ap_remove_input_filter(ap_filter_t *f),4,4,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,ap_remove_output_filter(ap_filter_t *f),4,4,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_get_brigade(ap_filter_t *next, apr_bucket_brigade *bb, ap_input_mode_t mode, apr_read_type_e block, apr_off_t readbytes)",6,6,4,3,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_pass_brigade(ap_filter_t *next, apr_bucket_brigade *bb)",27,16,12,6,2,0,9,84,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_save_brigade(ap_filter_t *f, apr_bucket_brigade **saveto, apr_bucket_brigade **b, apr_pool_t *p)",41,28,21,8,5,0,8,66,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_filter_flush(apr_bucket_brigade *bb, void *ctx)",4,3,3,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_fflush(ap_filter_t *f, apr_bucket_brigade *bb)",6,5,5,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_fputstrs(ap_filter_t *f, apr_bucket_brigade *bb, ...)",8,7,7,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_fprintf(ap_filter_t *f, apr_bucket_brigade *bb, const char *fmt, ...)",8,7,7,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_filter.c,"ap_filter_protocol(ap_filter_t *f, unsigned int flags)",2,2,2,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_md5.c,"ap_md5_binary(apr_pool_t *p, const unsigned char *buf, int length)",25,18,15,2,4,1,3,16,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_md5.c,"ap_md5(apr_pool_t *p, const unsigned char *string)",2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_md5.c,"ap_md5contextTo64(apr_pool_t *a, apr_md5_ctx_t *context)",22,19,18,2,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\util_md5.c,"ap_md5digest(apr_pool_t *p, apr_file_t *infile)",14,13,12,2,1,1,0,7,
