File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"start_ifdefine(cmd_parms *cmd, void *dummy, const char *arg)",36,30,24,8,6,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"virtualhost_section(cmd_parms *cmd, void *dummy, const char *arg)",49,32,26,11,12,0,5,52,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_server_alias(cmd_parms *cmd, void *dummy, const char *arg)",19,15,11,5,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_accf_map(cmd_parms *cmd, void *dummy, const char *iproto, const char* iaccf)",17,15,13,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,ap_get_server_protocol(server_rec* s),4,4,3,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"ap_set_server_protocol(server_rec* s, const char* proto)",4,4,3,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_protocol(cmd_parms *cmd, void *dummy, const char *arg)",15,12,10,3,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_server_string_slot(cmd_parms *cmd, void *dummy, const char *arg)",14,10,8,3,3,0,1,5,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"server_hostname_port(cmd_parms *cmd, void *dummy, const char *arg)",40,35,27,7,5,1,0,4,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_signature_flag(cmd_parms *cmd, void *d_, const char *arg)",22,19,14,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_server_root(cmd_parms *cmd, void *dummy, const char *arg)",14,11,7,6,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_timeout(cmd_parms *cmd, void *dummy, const char *arg)",9,7,6,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_allow2f(cmd_parms *cmd, void *d_, int arg)",10,8,7,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_hostname_lookups(cmd_parms *cmd, void *d_, const char *arg)",22,19,14,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_serverpath(cmd_parms *cmd, void *dummy, const char *arg)",10,8,7,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_content_md5(cmd_parms *cmd, void *d_, int arg)",10,8,7,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_accept_path_info(cmd_parms *cmd, void *d_, const char *arg)",17,15,11,3,2,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_use_canonical_name(cmd_parms *cmd, void *d_, const char *arg)",22,19,14,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_use_canonical_phys_port(cmd_parms *cmd, void *d_, const char *arg)",19,16,12,5,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"include_config(cmd_parms *cmd, void *dummy, const char *name)",45,37,27,9,7,0,1,4,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_loglevel(cmd_parms *cmd, void *dummy, const char *arg)",44,41,27,7,3,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"ap_psignature(const char *prefix, request_rec *r)",30,26,10,6,4,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"set_authname(cmd_parms *cmd, void *mconfig, const char *word1)",5,4,4,1,1,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,reset_banner(void *dummy),6,6,6,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,ap_get_server_revision(ap_version_t *version),5,5,5,0,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,ap_get_server_description(void),3,3,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,ap_get_server_banner(void),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,ap_get_server_version(void),2,2,2,1,0,0,0,0,
C:\MY_project_locrocon\apache\httpd-2.2.6-win32-src-r2\httpd-2.2.6\server\core.c,"ap_add_version_component(apr_pool_t *pconf, const char *component)",23,14,8,2,0,0,9,48,
